Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales (in millions),EU_Sales (in millions),JP_Sales (in millions),Other_Sales (in millions),Global_Sales (in millions),Critic_Score,User_Score,Developer,Rating
Battle Assault 3 featuring Gundam Seed,PS2,1970,Action,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,48.0,87.0,Natsume,T
Battle Engine Aquila,PS2,1970,Shooter,Atari,0.02,0.01,0.0,0.0,0.03,73.0,90.0,Lost Toys,T
Battle Fantasia,X360,1970,Fighting,505 Games,0.07,0.0,0.01,0.01,0.09,71.0,66.0,Arc System Works,T
Battle Princess of Arcadias,PS3,1970,Role-Playing,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02,69.0,79.0,ApolloSoft,T
Battleborn,PS4,1970,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26,68.0,68.0,Gearbox Software,T
Battleborn,XOne,1970,Shooter,Take-Two Interactive,0.1,0.04,0.0,0.01,0.15,71.0,72.0,Gearbox Software,T
Battleborn,PC,1970,Shooter,Take-Two Interactive,0.04,0.04,0.0,0.01,0.08,69.0,69.0,Gearbox Software,T
Battlefield 1,PS4,1970,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88.0,84.0,EA DICE,M
Battlefield 1,XOne,1970,Shooter,Electronic Arts,1.28,0.77,0.0,0.2,2.25,87.0,82.0,EA DICE,M
Battlefield 1,PC,1970,Shooter,Electronic Arts,0.11,0.24,0.0,0.03,0.38,88.0,76.0,EA DICE,M
Battlefield 1942,PC,1970,Shooter,Electronic Arts,0.01,0.01,0.0,0.0,0.03,89.0,86.0,Digital Illusions,T
Battlefield 2,PC,1970,Shooter,Electronic Arts,0.0,0.07,0.0,0.01,0.08,91.0,84.0,Digital Illusions,T
Battlefield 2: Modern Combat,XB,1970,Shooter,Electronic Arts,0.39,0.15,0.0,0.02,0.56,80.0,82.0,Digital Illusions,T
Battlefield 2: Modern Combat,PS2,1970,Shooter,Electronic Arts,0.37,0.01,0.0,0.06,0.44,80.0,85.0,Digital Illusions,T
Battlefield 2: Modern Combat,X360,1970,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41,77.0,73.0,Digital Illusions,T
Battlefield 2142,PC,1970,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.03,80.0,68.0,EA DICE,T
Battlefield 3,X360,1970,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,74.0,EA DICE,M
Battlefield 3,PS3,1970,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,75.0,EA DICE,M
Battlefield 3,PC,1970,Shooter,Electronic Arts,0.89,1.43,0.0,0.46,2.78,89.0,75.0,EA DICE,M
Battlefield 4,PS4,1970,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,85.0,69.0,EA DICE,M
Battlefield 4,PS3,1970,Shooter,Electronic Arts,1.3,1.42,0.27,0.5,3.49,80.0,58.0,EA DICE,M
Battlefield 4,X360,1970,Shooter,Electronic Arts,2.15,1.01,0.02,0.31,3.48,79.0,56.0,EA DICE,M
Battlefield 4,XOne,1970,Shooter,Electronic Arts,1.25,0.58,0.0,0.19,2.02,81.0,66.0,EA DICE,M
